Unnamed: 0,age,workclass,fnlwgt,education,education-num,occupation,relationship,race,sex,country,salary,capital_gain,marital_status,capital_loss,hours_per_week
141,27, Private,232782, Some-college,10, Sales, Own-child, White, Female, United-States, <=50K,0, Never-married,0,40
142,19, Private,316868, Some-college,10, Other-service, Own-child, White, Male, Mexico, <=50K,0, Never-married,0,30
143,45, Private,196584, Assoc-voc,11, Prof-specialty, Not-in-family, White, Female, United-States, >50K,0, Never-married,1564,40
144,70, Private,105376, Some-college,10, Tech-support, Other-relative, White, Male, United-States, <=50K,0, Never-married,0,40
145,31, Private,185814, HS-grad,9, Transport-moving, Unmarried, Black, Female, United-States, <=50K,0, Never-married,0,30
146,22, Private,175374, Some-college,10, Other-service, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,24
147,36, Private,108293, HS-grad,9, Other-service, Unmarried, White, Female, United-States, <=50K,0, Widowed,0,24
148,64, Private,181232, 11th,7, Craft-repair, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,2179,40
149,43, ?,174662, Some-college,10, ?, Not-in-family, White, Female, United-States, <=50K,0, Divorced,0,40
150,47, Local-gov,186009, Some-college,10, Adm-clerical, Unmarried, White, Female, Mexico, <=50K,0, Divorced,0,38
151,34, Private,198183, HS-grad,9, Adm-clerical, Not-in-family, White, Female, United-States, <=50K,0, Never-married,0,40
152,33, Private,163003, Bachelors,13, Exec-managerial, Other-relative, Asian-Pac-Islander, Female, Philippines, <=50K,0, Never-married,0,40
153,21, Private,296158, HS-grad,9, Craft-repair, Own-child, White, Male, United-States, <=50K,0, Never-married,0,35
154,52, ?,252903, HS-grad,9, ?, Not-in-family, White, Male, United-States, >50K,0, Divorced,0,45
155,48, Private,187715, HS-grad,9, Craft-repair, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,46
156,23, Private,214542, Bachelors,13, Handlers-cleaners, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,40
157,71, Self-emp-not-inc,494223, Some-college,10, Sales, Unmarried, Black, Male, United-States, <=50K,0, Separated,1816,2
158,29, Private,191535, HS-grad,9, Craft-repair, Not-in-family, White, Male, United-States, <=50K,0, Divorced,0,60
159,42, Private,228456, Bachelors,13, Other-service, Other-relative, Black, Male, United-States, <=50K,0, Separated,0,50
160,68, ?,38317, 1st-4th,2, ?, Not-in-family, White, Female, United-States, <=50K,0, Divorced,0,20
161,25, Private,252752, HS-grad,9, Other-service, Unmarried, White, Female, United-States, <=50K,0, Never-married,0,40
162,44, Self-emp-inc,78374, Masters,14, Exec-managerial, Unmarried, Asian-Pac-Islander, Female, United-States, <=50K,0, Divorced,0,40
163,28, Private,88419, HS-grad,9, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, England, <=50K,0, Never-married,0,40
164,45, Self-emp-not-inc,201080, Masters,14, Sales, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,40
165,36, Private,207157, Some-college,10, Other-service, Unmarried, White, Female, Mexico, <=50K,0, Divorced,0,40
166,39, Federal-gov,235485, Assoc-acdm,12, Exec-managerial, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,42
167,46, State-gov,102628, Masters,14, Protective-serv, Unmarried, White, Male, United-States, <=50K,0, Widowed,0,40
168,18, Private,25828, 11th,7, Handlers-cleaners, Own-child, White, Male, United-States, <=50K,0, Never-married,0,16
169,66, Local-gov,54826, Assoc-voc,11, Prof-specialty, Not-in-family, White, Female, United-States, <=50K,0, Widowed,0,20
170,27, Private,124953, HS-grad,9, Other-service, Not-in-family, White, Male, United-States, <=50K,0, Never-married,1980,40
171,28, State-gov,175325, HS-grad,9, Protective-serv, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
172,51, Private,96062, Some-college,10, Sales, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,1977,40
173,27, Private,428030, Bachelors,13, Craft-repair, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,50
174,28, State-gov,149624, Bachelors,13, Prof-specialty, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,40
175,27, Private,253814, HS-grad,9, Sales, Unmarried, White, Female, United-States, <=50K,0, Married-spouse-absent,0,25
176,21, Private,312956, HS-grad,9, Craft-repair, Own-child, Black, Male, United-States, <=50K,0, Never-married,0,40
177,34, Private,483777, HS-grad,9, Handlers-cleaners, Not-in-family, Black, Male, United-States, <=50K,0, Never-married,0,40
178,18, Private,183930, HS-grad,9, Other-service, Own-child, White, Male, United-States, <=50K,0, Never-married,0,12
179,33, Private,37274, Bachelors,13, Prof-specialty, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,65
180,44, Local-gov,181344, Some-college,10, Exec-managerial, Husband, Black, Male, United-States, >50K,0, Married-civ-spouse,0,38
181,43, Private,114580, Some-college,10, Adm-clerical, Not-in-family, White, Female, United-States, <=50K,0, Divorced,0,40
182,30, Private,633742, Some-college,10, Craft-repair, Not-in-family, Black, Male, United-States, <=50K,0, Never-married,0,45
183,40, Private,286370, 7th-8th,4, Machine-op-inspct, Husband, White, Male, Mexico, >50K,0, Married-civ-spouse,0,40
184,37, Federal-gov,29054, Some-college,10, Adm-clerical, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,42
185,34, Private,304030, HS-grad,9, Adm-clerical, Husband, Black, Male, United-States, <=50K,0, Married-civ-spouse,0,40
186,41, Self-emp-not-inc,143129, Bachelors,13, Exec-managerial, Not-in-family, White, Female, United-States, <=50K,0, Divorced,0,40
187,53, ?,135105, Bachelors,13, ?, Not-in-family, White, Female, United-States, <=50K,0, Divorced,0,50
188,31, Private,99928, Masters,14, Prof-specialty, Wife, White, Female, United-States, <=50K,0, Married-civ-spouse,0,50
189,58, State-gov,109567, Doctorate,16, Prof-specialty, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,1
190,38, Private,155222, Some-college,10, Machine-op-inspct, Not-in-family, Black, Female, United-States, <=50K,0, Divorced,0,28
191,24, Private,159567, Some-college,10, Machine-op-inspct, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
192,41, Local-gov,523910, Bachelors,13, Craft-repair, Husband, Black, Male, United-States, <=50K,0, Married-civ-spouse,0,40
193,47, Private,120939, Some-college,10, Tech-support, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,45
194,41, Federal-gov,130760, Bachelors,13, Tech-support, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,24
195,23, Private,197387, 5th-6th,3, Transport-moving, Other-relative, White, Male, Mexico, <=50K,0, Married-civ-spouse,0,40
196,36, Private,99374, Some-college,10, Craft-repair, Not-in-family, White, Male, United-States, <=50K,0, Divorced,0,40
197,40, Federal-gov,56795, Masters,14, Exec-managerial, Not-in-family, White, Female, United-States, >50K,14084, Never-married,0,55
198,35, Private,138992, Masters,14, Prof-specialty, Other-relative, White, Male, United-States, >50K,7298, Married-civ-spouse,0,40
199,24, Self-emp-not-inc,32921, HS-grad,9, Sales, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,40
200,26, Private,397317, Masters,14, Prof-specialty, Not-in-family, White, Female, United-States, <=50K,0, Never-married,1876,40
201,19, ?,170653, HS-grad,9, ?, Own-child, White, Male, Italy, <=50K,0, Never-married,0,40
202,51, Private,259323, Bachelors,13, Exec-managerial, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,50
203,42, Local-gov,254817, Some-college,10, Prof-specialty, Not-in-family, White, Female, United-States, <=50K,0, Never-married,1340,40
204,37, State-gov,48211, HS-grad,9, Adm-clerical, Unmarried, White, Female, United-States, <=50K,0, Divorced,0,35
205,18, Private,140164, 11th,7, Sales, Own-child, White, Female, United-States, <=50K,0, Never-married,0,40
206,36, Private,128757, Bachelors,13, Other-service, Husband, Black, Male, United-States, >50K,7298, Married-civ-spouse,0,36
207,35, Private,36270, HS-grad,9, Craft-repair, Not-in-family, White, Male, United-States, <=50K,0, Divorced,0,60
208,58, Self-emp-inc,210563, HS-grad,9, Sales, Wife, White, Female, United-States, >50K,15024, Married-civ-spouse,0,35
209,17, Private,65368, 11th,7, Sales, Own-child, White, Female, United-States, <=50K,0, Never-married,0,12
210,44, Local-gov,160943, HS-grad,9, Transport-moving, Husband, Black, Male, United-States, <=50K,0, Married-civ-spouse,0,40
211,37, Private,208358, HS-grad,9, Craft-repair, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,40
212,35, Private,153790, Some-college,10, Sales, Not-in-family, Amer-Indian-Eskimo, Female, United-States, <=50K,0, Never-married,0,40
213,60, Private,85815, HS-grad,9, Craft-repair, Husband, Asian-Pac-Islander, Male, United-States, <=50K,0, Married-civ-spouse,0,40
214,54, Self-emp-inc,125417, 7th-8th,4, Machine-op-inspct, Husband, White, Male, United-States, >50K,0, Married-civ-spouse,0,40
215,37, Private,635913, Bachelors,13, Exec-managerial, Not-in-family, Black, Male, United-States, >50K,0, Never-married,0,60
216,50, Private,313321, Assoc-acdm,12, Sales, Not-in-family, White, Female, United-States, <=50K,0, Divorced,0,40
217,38, Private,182609, Bachelors,13, Sales, Husband, White, Male, Poland, <=50K,0, Married-civ-spouse,0,50
218,45, Private,109434, Bachelors,13, Prof-specialty, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,55
219,25, Private,255004, 10th,6, Craft-repair, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,40
220,31, Private,197860, Some-college,10, Handlers-cleaners, Husband, White, Male, United-States, <=50K,0, Married-civ-spouse,0,40
221,64, ?,187656, 1st-4th,2, ?, Not-in-family, White, Male, United-States, <=50K,0, Divorced,0,40
222,90, Private,51744, HS-grad,9, Other-service, Not-in-family, Black, Male, United-States, <=50K,0, Never-married,2206,40
223,54, Private,176681, HS-grad,9, Adm-clerical, Husband, Black, Male, United-States, <=50K,0, Married-civ-spouse,0,20
224,53, Local-gov,140359, Preschool,1, Machine-op-inspct, Not-in-family, White, Female, United-States, <=50K,0, Never-married,0,35
225,18, Private,243313, HS-grad,9, Sales, Own-child, White, Female, United-States, <=50K,0, Never-married,0,40
226,60, ?,24215, 10th,6, ?, Not-in-family, Amer-Indian-Eskimo, Female, United-States, <=50K,0, Divorced,0,10
227,66, Self-emp-not-inc,167687, HS-grad,9, Farming-fishing, Husband, White, Male, United-States, <=50K,1409, Married-civ-spouse,0,50
228,75, Private,314209, Assoc-voc,11, Adm-clerical, Not-in-family, White, Female, Columbia, <=50K,0, Widowed,0,20
229,65, Private,176796, HS-grad,9, Adm-clerical, Not-in-family, White, Female, United-States, <=50K,0, Divorced,0,40
230,35, Private,538583, 11th,7, Transport-moving, Not-in-family, Black, Male, United-States, <=50K,3674, Separated,0,40
231,41, Private,130408, HS-grad,9, Sales, Unmarried, Black, Female, United-States, <=50K,0, Divorced,0,38
232,25, Private,159732, Some-college,10, Adm-clerical, Not-in-family, White, Male, United-States, <=50K,0, Never-married,0,42
233,33, Private,110978, Some-college,10, Craft-repair, Other-relative, Other, Female, United-States, <=50K,0, Divorced,0,40
